name,type,value,time
枞阳,枞阳最低气温,11,2020-03-26
枞阳,枞阳最低气温,15,2020-03-25
当涂,当涂最低气温,8,2020-04-23
当涂,当涂最低气温,10,2020-04-22
当涂,当涂最低气温,10,2020-04-21
当涂,当涂最低气温,10,2020-04-20
当涂,当涂最低气温,9,2020-04-19
当涂,当涂最低气温,13,2020-04-18
当涂,当涂最低气温,14,2020-04-17
当涂,当涂最低气温,15,2020-04-16
当涂,当涂最低气温,14,2020-04-15
当涂,当涂最低气温,10,2020-04-14
当涂,当涂最低气温,6,2020-04-13
当涂,当涂最低气温,5,2020-04-12
当涂,当涂最低气温,6,2020-04-11
当涂,当涂最低气温,8,2020-04-10
当涂,当涂最低气温,12,2020-04-09
当涂,当涂最低气温,10,2020-04-08
当涂,当涂最低气温,8,2020-04-07
当涂,当涂最低气温,7,2020-04-06
当涂,当涂最低气温,8,2020-04-05
当涂,当涂最低气温,6,2020-04-04
当涂,当涂最低气温,7,2020-04-03
当涂,当涂最低气温,8,2020-04-02
当涂,当涂最低气温,8,2020-04-01
当涂,当涂最低气温,9,2020-03-31
当涂,当涂最低气温,7,2020-03-30
当涂,当涂最低气温,4,2020-03-29
当涂,当涂最低气温,2,2020-03-28
当涂,当涂最低气温,3,2020-03-27
当涂,当涂最低气温,10,2020-03-26
当涂,当涂最低气温,15,2020-03-25
砀山,砀山最低气温,5,2020-04-23
砀山,砀山最低气温,6,2020-04-22
砀山,砀山最低气温,8,2020-04-21
砀山,砀山最低气温,10,2020-04-20
砀山,砀山最低气温,12,2020-04-19
砀山,砀山最低气温,11,2020-04-18
砀山,砀山最低气温,9,2020-04-17
砀山,砀山最低气温,9,2020-04-16
砀山,砀山最低气温,15,2020-04-15
砀山,砀山最低气温,11,2020-04-14
砀山,砀山最低气温,11,2020-04-13
砀山,砀山最低气温,4,2020-04-12
砀山,砀山最低气温,6,2020-04-11
砀山,砀山最低气温,5,2020-04-10
砀山,砀山最低气温,7,2020-04-09
砀山,砀山最低气温,9,2020-04-08
砀山,砀山最低气温,7,2020-04-07
砀山,砀山最低气温,5,2020-04-06
砀山,砀山最低气温,8,2020-04-05
砀山,砀山最低气温,6,2020-04-04
砀山,砀山最低气温,6,2020-04-03
砀山,砀山最低气温,4,2020-04-02
砀山,砀山最低气温,8,2020-04-01
砀山,砀山最低气温,6,2020-03-31
砀山,砀山最低气温,4,2020-03-30
砀山,砀山最低气温,1,2020-03-29
砀山,砀山最低气温,6,2020-03-28
砀山,砀山最低气温,6,2020-03-27
砀山,砀山最低气温,7,2020-03-26
砀山,砀山最低气温,10,2020-03-25
定远,定远最低气温,7,2020-04-23
定远,定远最低气温,8,2020-04-22
定远,定远最低气温,9,2020-04-21
定远,定远最低气温,10,2020-04-20
定远,定远最低气温,11,2020-04-19
定远,定远最低气温,11,2020-04-18
定远,定远最低气温,12,2020-04-17
定远,定远最低气温,13,2020-04-16
定远,定远最低气温,16,2020-04-15
定远,定远最低气温,10,2020-04-14
定远,定远最低气温,9,2020-04-13
定远,定远最低气温,5,2020-04-12
定远,定远最低气温,7,2020-04-11
定远,定远最低气温,7,2020-04-10
定远,定远最低气温,10,2020-04-09
定远,定远最低气温,9,2020-04-08
定远,定远最低气温,7,2020-04-07
定远,定远最低气温,6,2020-04-06
定远,定远最低气温,7,2020-04-05
定远,定远最低气温,5,2020-04-04
定远,定远最低气温,8,2020-04-03
定远,定远最低气温,8,2020-04-02
定远,定远最低气温,7,2020-04-01
定远,定远最低气温,6,2020-03-31
定远,定远最低气温,6,2020-03-30
定远,定远最低气温,3,2020-03-29
定远,定远最低气温,4,2020-03-28
定远,定远最低气温,4,2020-03-27
定远,定远最低气温,8,2020-03-26
定远,定远最低气温,13,2020-03-25
东至,东至最低气温,8,2020-04-23
东至,东至最低气温,11,2020-04-22
东至,东至最低气温,10,2020-04-21
东至,东至最低气温,11,2020-04-20
东至,东至最低气温,9,2020-04-19
东至,东至最低气温,14,2020-04-18
东至,东至最低气温,13,2020-04-17
东至,东至最低气温,16,2020-04-16
东至,东至最低气温,14,2020-04-15
东至,东至最低气温,7,2020-04-14
东至,东至最低气温,8,2020-04-13
东至,东至最低气温,5,2020-04-12
东至,东至最低气温,4,2020-04-11
东至,东至最低气温,11,2020-04-10
东至,东至最低气温,11,2020-04-09
东至,东至最低气温,9,2020-04-08
东至,东至最低气温,8,2020-04-07
东至,东至最低气温,7,2020-04-06
东至,东至最低气温,8,2020-04-05
东至,东至最低气温,8,2020-04-04
东至,东至最低气温,10,2020-04-03
东至,东至最低气温,10,2020-04-02
东至,东至最低气温,7,2020-04-01
东至,东至最低气温,8,2020-03-31
东至,东至最低气温,6,2020-03-30
东至,东至最低气温,5,2020-03-29
东至,东至最低气温,3,2020-03-28
东至,东至最低气温,5,2020-03-27
东至,东至最低气温,12,2020-03-26
东至,东至最低气温,17,2020-03-25
繁昌,繁昌最低气温,8,2020-04-23
繁昌,繁昌最低气温,11,2020-04-22
繁昌,繁昌最低气温,9,2020-04-21
繁昌,繁昌最低气温,12,2020-04-20
繁昌,繁昌最低气温,10,2020-04-19
繁昌,繁昌最低气温,13,2020-04-18
繁昌,繁昌最低气温,12,2020-04-17
繁昌,繁昌最低气温,15,2020-04-16
繁昌,繁昌最低气温,13,2020-04-15
繁昌,繁昌最低气温,10,2020-04-14
繁昌,繁昌最低气温,7,2020-04-13
繁昌,繁昌最低气温,5,2020-04-12
繁昌,繁昌最低气温,6,2020-04-11
繁昌,繁昌最低气温,10,2020-04-10
繁昌,繁昌最低气温,11,2020-04-09
繁昌,繁昌最低气温,8,2020-04-08
繁昌,繁昌最低气温,6,2020-04-07
繁昌,繁昌最低气温,5,2020-04-06
繁昌,繁昌最低气温,8,2020-04-05
繁昌,繁昌最低气温,6,2020-04-04
繁昌,繁昌最低气温,8,2020-04-03
繁昌,繁昌最低气温,8,2020-04-02
繁昌,繁昌最低气温,8,2020-04-01
繁昌,繁昌最低气温,10,2020-03-31
繁昌,繁昌最低气温,6,2020-03-30
繁昌,繁昌最低气温,4,2020-03-29
繁昌,繁昌最低气温,2,2020-03-28
繁昌,繁昌最低气温,3,2020-03-27
繁昌,繁昌最低气温,10,2020-03-26
繁昌,繁昌最低气温,14,2020-03-25
肥东,肥东最低气温,8,2020-04-23
肥东,肥东最低气温,10,2020-04-22
肥东,肥东最低气温,8,2020-04-21
肥东,肥东最低气温,10,2020-04-20
肥东,肥东最低气温,10,2020-04-19
肥东,肥东最低气温,12,2020-04-18
肥东,肥东最低气温,13,2020-04-17
肥东,肥东最低气温,16,2020-04-16
肥东,肥东最低气温,16,2020-04-15
肥东,肥东最低气温,10,2020-04-14
肥东,肥东最低气温,9,2020-04-13
肥东,肥东最低气温,6,2020-04-12
肥东,肥东最低气温,7,2020-04-11
肥东,肥东最低气温,8,2020-04-10
肥东,肥东最低气温,12,2020-04-09
肥东,肥东最低气温,8,2020-04-08
肥东,肥东最低气温,7,2020-04-07
肥东,肥东最低气温,7,2020-04-06
肥东,肥东最低气温,8,2020-04-05
肥东,肥东最低气温,6,2020-04-04
肥东,肥东最低气温,7,2020-04-03
肥东,肥东最低气温,8,2020-04-02
肥东,肥东最低气温,9,2020-04-01
肥东,肥东最低气温,8,2020-03-31
肥东,肥东最低气温,8,2020-03-30
肥东,肥东最低气温,3,2020-03-29
肥东,肥东最低气温,3,2020-03-28
肥东,肥东最低气温,3,2020-03-27
肥东,肥东最低气温,9,2020-03-26
肥东,肥东最低气温,14,2020-03-25
肥西,肥西最低气温,7,2020-04-23
肥西,肥西最低气温,10,2020-04-22
肥西,肥西最低气温,8,2020-04-21
肥西,肥西最低气温,11,2020-04-20
肥西,肥西最低气温,9,2020-04-19
肥西,肥西最低气温,12,2020-04-18
肥西,肥西最低气温,13,2020-04-17
肥西,肥西最低气温,14,2020-04-16
肥西,肥西最低气温,15,2020-04-15
肥西,肥西最低气温,8,2020-04-14
肥西,肥西最低气温,10,2020-04-13
肥西,肥西最低气温,5,2020-04-12
肥西,肥西最低气温,5,2020-04-11
肥西,肥西最低气温,8,2020-04-10
肥西,肥西最低气温,11,2020-04-09
肥西,肥西最低气温,8,2020-04-08
肥西,肥西最低气温,7,2020-04-07
肥西,肥西最低气温,5,2020-04-06
肥西,肥西最低气温,7,2020-04-05
肥西,肥西最低气温,6,2020-04-04
肥西,肥西最低气温,8,2020-04-03
肥西,肥西最低气温,7,2020-04-02
肥西,肥西最低气温,8,2020-04-01
肥西,肥西最低气温,8,2020-03-31
肥西,肥西最低气温,7,2020-03-30
肥西,肥西最低气温,4,2020-03-29
肥西,肥西最低气温,3,2020-03-28
肥西,肥西最低气温,3,2020-03-27
肥西,肥西最低气温,8,2020-03-26
肥西,肥西最低气温,14,2020-03-25
凤台,凤台最低气温,7,2020-04-23
凤台,凤台最低气温,8,2020-04-22
凤台,凤台最低气温,10,2020-04-21
凤台,凤台最低气温,10,2020-04-20
凤台,凤台最低气温,10,2020-04-19
凤台,凤台最低气温,12,2020-04-18
凤台,凤台最低气温,12,2020-04-17
凤台,凤台最低气温,14,2020-04-16
凤台,凤台最低气温,16,2020-04-15
凤台,凤台最低气温,11,2020-04-14
凤台,凤台最低气温,11,2020-04-13
凤台,凤台最低气温,5,2020-04-12
凤台,凤台最低气温,7,2020-04-11
凤台,凤台最低气温,7,2020-04-10
凤台,凤台最低气温,11,2020-04-09
凤台,凤台最低气温,9,2020-04-08
凤台,凤台最低气温,8,2020-04-07
凤台,凤台最低气温,7,2020-04-06
凤台,凤台最低气温,9,2020-04-05
凤台,凤台最低气温,7,2020-04-04
凤台,凤台最低气温,10,2020-04-03
凤台,凤台最低气温,8,2020-04-02
凤台,凤台最低气温,9,2020-04-01
凤台,凤台最低气温,7,2020-03-31
凤台,凤台最低气温,7,2020-03-30
凤台,凤台最低气温,3,2020-03-29
凤台,凤台最低气温,5,2020-03-28
凤台,凤台最低气温,5,2020-03-27
凤台,凤台最低气温,8,2020-03-26
凤台,凤台最低气温,13,2020-03-25
凤阳,凤阳最低气温,5,2020-04-23
凤阳,凤阳最低气温,6,2020-04-22
凤阳,凤阳最低气温,8,2020-04-21
凤阳,凤阳最低气温,9,2020-04-20
凤阳,凤阳最低气温,10,2020-04-19
凤阳,凤阳最低气温,11,2020-04-18
凤阳,凤阳最低气温,10,2020-04-17
凤阳,凤阳最低气温,11,2020-04-16
凤阳,凤阳最低气温,16,2020-04-15
凤阳,凤阳最低气温,9,2020-04-14
凤阳,凤阳最低气温,10,2020-04-13
凤阳,凤阳最低气温,3,2020-04-12
凤阳,凤阳最低气温,5,2020-04-11
凤阳,凤阳最低气温,7,2020-04-10
凤阳,凤阳最低气温,9,2020-04-09
凤阳,凤阳最低气温,7,2020-04-08
凤阳,凤阳最低气温,7,2020-04-07
凤阳,凤阳最低气温,2,2020-04-06
凤阳,凤阳最低气温,5,2020-04-05
凤阳,凤阳最低气温,4,2020-04-04
凤阳,凤阳最低气温,7,2020-04-03
凤阳,凤阳最低气温,6,2020-04-02
凤阳,凤阳最低气温,7,2020-04-01
凤阳,凤阳最低气温,6,2020-03-31
凤阳,凤阳最低气温,6,2020-03-30
凤阳,凤阳最低气温,2,2020-03-29
凤阳,凤阳最低气温,5,2020-03-28
凤阳,凤阳最低气温,4,2020-03-27
凤阳,凤阳最低气温,8,2020-03-26
凤阳,凤阳最低气温,12,2020-03-25
阜南,阜南最低气温,6,2020-04-23
阜南,阜南最低气温,8,2020-04-22
阜南,阜南最低气温,10,2020-04-21
阜南,阜南最低气温,9,2020-04-20
阜南,阜南最低气温,10,2020-04-19
阜南,阜南最低气温,11,2020-04-18
阜南,阜南最低气温,13,2020-04-17
阜南,阜南最低气温,13,2020-04-16
阜南,阜南最低气温,15,2020-04-15
阜南,阜南最低气温,12,2020-04-14
阜南,阜南最低气温,11,2020-04-13
阜南,阜南最低气温,4,2020-04-12
阜南,阜南最低气温,6,2020-04-11
阜南,阜南最低气温,6,2020-04-10
阜南,阜南最低气温,11,2020-04-09
阜南,阜南最低气温,9,2020-04-08
阜南,阜南最低气温,6,2020-04-07
阜南,阜南最低气温,7,2020-04-06
阜南,阜南最低气温,8,2020-04-05
阜南,阜南最低气温,8,2020-04-04
阜南,阜南最低气温,8,2020-04-03
阜南,阜南最低气温,7,2020-04-02
阜南,阜南最低气温,8,2020-04-01
阜南,阜南最低气温,6,2020-03-31
阜南,阜南最低气温,5,2020-03-30
阜南,阜南最低气温,1,2020-03-29
阜南,阜南最低气温,5,2020-03-28
阜南,阜南最低气温,4,2020-03-27
阜南,阜南最低气温,8,2020-03-26
阜南,阜南最低气温,14,2020-03-25
阜阳,阜阳最低气温,6,2020-04-23
阜阳,阜阳最低气温,7,2020-04-22
阜阳,阜阳最低气温,9,2020-04-21
阜阳,阜阳最低气温,9,2020-04-20
阜阳,阜阳最低气温,10,2020-04-19
阜阳,阜阳最低气温,11,2020-04-18
阜阳,阜阳最低气温,13,2020-04-17
阜阳,阜阳最低气温,13,2020-04-16
阜阳,阜阳最低气温,15,2020-04-15
阜阳,阜阳最低气温,11,2020-04-14
阜阳,阜阳最低气温,11,2020-04-13
阜阳,阜阳最低气温,4,2020-04-12
阜阳,阜阳最低气温,6,2020-04-11
阜阳,阜阳最低气温,6,2020-04-10
阜阳,阜阳最低气温,10,2020-04-09
阜阳,阜阳最低气温,9,2020-04-08
阜阳,阜阳最低气温,6,2020-04-07
阜阳,阜阳最低气温,6,2020-04-06
阜阳,阜阳最低气温,9,2020-04-05
阜阳,阜阳最低气温,7,2020-04-04
阜阳,阜阳最低气温,8,2020-04-03
阜阳,阜阳最低气温,6,2020-04-02
阜阳,阜阳最低气温,8,2020-04-01
阜阳,阜阳最低气温,6,2020-03-31
阜阳,阜阳最低气温,5,2020-03-30
阜阳,阜阳最低气温,2,2020-03-29
阜阳,阜阳最低气温,5,2020-03-28
阜阳,阜阳最低气温,5,2020-03-27
阜阳,阜阳最低气温,8,2020-03-26
阜阳,阜阳最低气温,14,2020-03-25
固镇,固镇最低气温,5,2020-04-23
固镇,固镇最低气温,6,2020-04-22
固镇,固镇最低气温,8,2020-04-21
固镇,固镇最低气温,10,2020-04-20
固镇,固镇最低气温,11,2020-04-19
固镇,固镇最低气温,11,2020-04-18
固镇,固镇最低气温,10,2020-04-17
固镇,固镇最低气温,10,2020-04-16
固镇,固镇最低气温,15,2020-04-15
固镇,固镇最低气温,8,2020-04-14
固镇,固镇最低气温,10,2020-04-13
固镇,固镇最低气温,4,2020-04-12
固镇,固镇最低气温,6,2020-04-11
固镇,固镇最低气温,6,2020-04-10
固镇,固镇最低气温,8,2020-04-09
固镇,固镇最低气温,9,2020-04-08
固镇,固镇最低气温,6,2020-04-07
固镇,固镇最低气温,4,2020-04-06
固镇,固镇最低气温,6,2020-04-05
固镇,固镇最低气温,5,2020-04-04
固镇,固镇最低气温,7,2020-04-03
固镇,固镇最低气温,5,2020-04-02
固镇,固镇最低气温,7,2020-04-01
固镇,固镇最低气温,6,2020-03-31
固镇,固镇最低气温,6,2020-03-30
固镇,固镇最低气温,1,2020-03-29
固镇,固镇最低气温,5,2020-03-28
固镇,固镇最低气温,6,2020-03-27
固镇,固镇最低气温,7,2020-03-26
固镇,固镇最低气温,11,2020-03-25
广德,广德最低气温,7,2020-04-23
广德,广德最低气温,10,2020-04-22
广德,广德最低气温,9,2020-04-21
广德,广德最低气温,11,2020-04-20
广德,广德最低气温,11,2020-04-19
广德,广德最低气温,13,2020-04-18
广德,广德最低气温,12,2020-04-17
广德,广德最低气温,15,2020-04-16
广德,广德最低气温,14,2020-04-15
广德,广德最低气温,10,2020-04-14
广德,广德最低气温,5,2020-04-13
广德,广德最低气温,5,2020-04-12
广德,广德最低气温,4,2020-04-11
广德,广德最低气温,12,2020-04-10
广德,广德最低气温,9,2020-04-09
广德,广德最低气温,8,2020-04-08
广德,广德最低气温,5,2020-04-07
广德,广德最低气温,4,2020-04-06
广德,广德最低气温,7,2020-04-05
广德,广德最低气温,5,2020-04-04
广德,广德最低气温,7,2020-04-03
广德,广德最低气温,7,2020-04-02
广德,广德最低气温,7,2020-04-01
广德,广德最低气温,10,2020-03-31
广德,广德最低气温,7,2020-03-30
广德,广德最低气温,6,2020-03-29
广德,广德最低气温,2,2020-03-28
广德,广德最低气温,5,2020-03-27
广德,广德最低气温,11,2020-03-26
广德,广德最低气温,14,2020-03-25
贵池,贵池最低气温,9,2020-04-23
贵池,贵池最低气温,12,2020-04-22
贵池,贵池最低气温,11,2020-04-21
贵池,贵池最低气温,13,2020-04-20
贵池,贵池最低气温,10,2020-04-19
贵池,贵池最低气温,14,2020-04-18
贵池,贵池最低气温,14,2020-04-17
贵池,贵池最低气温,16,2020-04-16
贵池,贵池最低气温,13,2020-04-15
贵池,贵池最低气温,9,2020-04-14
贵池,贵池最低气温,6,2020-04-13
贵池,贵池最低气温,6,2020-04-12
贵池,贵池最低气温,6,2020-04-11
贵池,贵池最低气温,10,2020-04-10
贵池,贵池最低气温,11,2020-04-09
贵池,贵池最低气温,8,2020-04-08
贵池,贵池最低气温,7,2020-04-07
贵池,贵池最低气温,7,2020-04-06
贵池,贵池最低气温,9,2020-04-05
贵池,贵池最低气温,8,2020-04-04
贵池,贵池最低气温,9,2020-04-03
贵池,贵池最低气温,9,2020-04-02
贵池,贵池最低气温,9,2020-04-01
贵池,贵池最低气温,9,2020-03-31
贵池,贵池最低气温,7,2020-03-30
贵池,贵池最低气温,5,2020-03-29
贵池,贵池最低气温,3,2020-03-28
贵池,贵池最低气温,4,2020-03-27
贵池,贵池最低气温,11,2020-03-26
贵池,贵池最低气温,16,2020-03-25
含山,含山最低气温,7,2020-04-23
含山,含山最低气温,9,2020-04-22
含山,含山最低气温,9,2020-04-21
含山,含山最低气温,11,2020-04-20
含山,含山最低气温,8,2020-04-19
含山,含山最低气温,12,2020-04-18
含山,含山最低气温,13,2020-04-17
含山,含山最低气温,15,2020-04-16
含山,含山最低气温,13,2020-04-15
含山,含山最低气温,9,2020-04-14
含山,含山最低气温,7,2020-04-13
含山,含山最低气温,5,2020-04-12
含山,含山最低气温,5,2020-04-11
含山,含山最低气温,9,2020-04-10
含山,含山最低气温,10,2020-04-09
含山,含山最低气温,9,2020-04-08
含山,含山最低气温,6,2020-04-07
含山,含山最低气温,5,2020-04-06
含山,含山最低气温,7,2020-04-05
含山,含山最低气温,5,2020-04-04
含山,含山最低气温,6,2020-04-03
含山,含山最低气温,7,2020-04-02
含山,含山最低气温,7,2020-04-01
含山,含山最低气温,9,2020-03-31
含山,含山最低气温,6,2020-03-30
含山,含山最低气温,4,2020-03-29
含山,含山最低气温,2,2020-03-28
含山,含山最低气温,3,2020-03-27
含山,含山最低气温,9,2020-03-26
含山,含山最低气温,13,2020-03-25
